90608	31660	02107248-v
10989	18108	00949841-v
90607	57582	07085210-n
10988	74265	14611980-n
90606	4763	13435152-n
10987	95495	01463642-a
10986	46859	11310523-n
90605	10350	07867883-n
90610	30966	10659961-n
90611	13087	02329355-a
112847	77678	04122011-n
112846	94974	04674624-n
112849	22944	04771128-n
112848	57717	02390287-v
112843	51548	06368962-n
112842	45669	01702154-v
112845	113970	02358584-n
112844	62963	09431283-n
112841	39082	01492052-v
112840	86955	02067540-v
35759	15790	13636286-n
35758	34657	10126926-n
35757	104010	02172152-a
35756	102704	01150771-a
35755	3106	02159271-n
35754	108931	13288942-n
35753	20022	04655168-n
35752	37259	11455386-n
35751	101249	00425967-v
35750	47359	00738829-a
22592	113865	02411529-v
22593	624	13957601-n
22590	57158	02849729-n
112839	29196	04818284-n
22591	17379	11427241-n
112838	26624	11997775-n
112837	57583	13668380-n
112836	13237	04972801-n
112835	86628	00178811-a
112834	30251	04805304-n
112833	59782	14837364-n
112832	62964	04505345-n
112831	107262	05273073-n
112830	66912	01025246-v
35748	35421	02812342-n
35747	16567	07822197-n
35749	69218	10693459-n
35744	84921	01390466-n
35743	36487	02173773-a
35746	48192	02498213-a
22599	20534	09895222-n
22598	34258	08782627-n
35745	55293	01929802-a
22597	2589	08852843-n
35740	65179	02278513-a
22596	36223	04588739-n
35742	1435	01094725-n
22595	3749	01229020-a
35741	35816	12059479-n
22594	9835	02587051-n
112825	20494	08942780-n
112824	78352	02638121-a
112827	16534	14691231-n
112826	51971	04095938-n
112829	45330	02534559-n
112828	83713	00182269-v
22580	90718	03308481-n
22581	116383	01747085-v
22582	88417	12839839-n
112821	32819	08273736-n
112820	53206	01003741-v
112823	114325	08401970-n
112822	6562	02707683-n
35739	101987	04147183-n
35738	110136	10737860-n
35737	91399	00898132-a
35736	115709	00150558-r
22584	104158	01140065-v
35731	13987	00511817-n
35730	35170	05906998-n
22583	5566	04318131-n
22586	83532	02615880-v
22585	77679	01630673-a
22588	46987	05337301-n
35735	35730	13166044-n
22587	4245	12442220-n
35734	70243	10004539-n
35733	83176	05355527-n
35732	17744	06021013-n
22589	75792	07538142-n
112816	2965	00545501-n
112815	93043	05576827-n
112814	72749	01816983-v
112813	78508	04370774-n
22570	54759	13707804-n
112819	20150	02977826-a
22571	63270	13861806-n
112818	72942	01199487-v
112817	24261	10070711-n
112812	33547	08405723-n
112811	33711	07578879-n
112810	92101	04870889-n
35726	23494	02178866-v
35725	100289	00954153-a
35728	95648	14963634-n
35727	84568	00198213-v
35729	105839	02471984-a
22575	54224	08964288-n
22574	25378	10151570-n
22573	98766	02011805-n
35720	45893	08284847-n
22572	64872	00979557-n
35722	113774	01469886-n
22579	14003	00185172-r
22578	51549	01730429-n
35721	87517	01131004-n
35724	670	12501745-n
22577	49222	01876957-a
22576	33291	15180934-n
35723	52935	01482887-n
90687	98767	03140546-n
112886	60391	13283620-n
90688	39829	01543361-a
112887	22343	10782471-n
90685	101831	01433386-a
112888	37619	14170987-n
112889	102423	00735608-a
90686	28384	06611376-n
112882	212	07959943-n
90683	69735	02278463-n
112883	26293	00408852-v
90684	71900	09794320-n
90681	10320	00903385-v
112884	79040	03833294-n
90682	29696	13148791-n
112885	96153	03724538-n
35793	96628	13006894-n
35792	111819	08561230-n
90680	46860	10089484-n
35791	23279	02402268-a
22560	56299	07029088-n
35790	44780	07736371-n
22565	87518	01628770-n
22566	100112	09645788-n
35798	28670	06146880-n
22567	51432	11635433-n
35799	7986	00892861-n
